id,CVE_ENT,CVE_MUN,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,18,001,Acaponeta,37232,143,3.840782123,,,,
2,18,002,Ahuacatlán,15393,26,1.689079452,,,,
3,18,003,Amatlán de Cañas,11536,27,2.340499307,,,,
4,18,004,Compostela,77436,158,2.040394648,,,,
5,18,005,Huajicori,12230,20,1.635322976,,,,
6,18,006,Ixtlán del Río,29299,92,3.140038909,,,,
7,18,007,Jala,19321,16,0.828114487,,,,
8,18,008,Xalisco,65229,52,0.797191433,,,,
9,18,009,Del Nayar,47550,79,1.661409043,,,,
10,18,010,Rosamorada,33567,154,4.587839247,,,,
11,18,011,Ruíz,24096,22,0.913014608,,,,
12,18,012,San Blas,41518,54,1.300640686,,,,
13,18,013,San Pedro Lagunillas,7683,16,2.082519849,,,,
14,18,014,Santa María del Oro,24911,19,0.762715266,,,,
15,18,015,Santiago Ixcuintla,93981,288,3.064449197,,,,
16,18,016,Tecuala,37135,74,1.992729231,,,,
17,18,017,Tepic,425924,2265,5.317850133,,,,
18,18,018,Tuxpan,30064,103,3.426024481,,,,
19,18,019,La Yesca,13719,64,4.665063051,,,,
20,18,020,Bahía de Banderas,187632,658,3.506864501,,,,
8888,8888,8888,No Disponible,0,46,0,,,,
9999,9999,9999,Total Nayarit,1235456,4376,3.542012018,,,,
