id,CVE_ENT,CVE_MUN,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,09,002,Álvaro Obregón,759137,3830,5.045202645
2,09,003,Azcapotzalco,432205,6551,15.15715922
3,09,004,Benito Juárez,434153,4303,9.911252485
4,09,005,Coyoacán,614447,3137,5.105403721
5,09,006,Cuajimalpa de Morelos,217686,340,1.561882712
6,09,007,Cuauhtémoc,545884,8861,16.23238637
7,09,008,Gustavo A. Madero,1173351,7355,6.268371527
8,09,009,Iztacalco,404695,1751,4.326715181
9,09,010,Iztapalapa,1835486,3991,2.174356002
10,09,011,Magdalena Contreras,247622,321,1.296330698
11,09,012,Miguel Hidalgo,414470,2657,6.410596666
12,09,013,Milpa Alta,152685,410,2.685267053
13,09,014,Tláhuac,392313,1551,3.953475924
14,09,015,Tlalpan,699928,7102,10.14675795
15,09,016,Venustiano Carranza,443704,1258,2.835223482
16,09,017,Xochimilco,442178,551,1.24610451
8888,8888,8888,No Disponible,0,835,0
9999,9999,9999,Total Ciudad de México,9209944,54804,5.950524781
