id,CVE_ENT,CVE_MUN,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,19,001,Abasolo,2974,1,0.336247478
2,19,002,Agualeguas,3382,2,0.591366056
3,19,003,Los Aldamas,1407,0,0
4,19,004,Allende,35289,29,0.821785826
5,19,005,Anáhuac,18030,20,1.109262341
6,19,006,Apodaca,656464,637,0.97035024
7,19,007,Aramberri,14992,16,1.067235859
8,19,008,Bustamante,3661,0,0
9,19,009,Cadereyta Jiménez,122337,135,1.103509159
10,19,010,El Carmen,104478,13,0.124428109
11,19,011,Cerralvo,7340,55,7.493188011
12,19,012,Ciénega de Flores,68747,13,0.189099161
13,19,013,China,9930,7,0.704934542
14,19,014,Doctor Arroyo,36088,130,3.602305476
15,19,015,Doctor Coss,1360,1,0.735294118
16,19,016,Doctor González,3256,1,0.307125307
17,19,017,Galeana,40903,116,2.835977801
18,19,018,García,397205,41,0.103221259
19,19,019,San Pedro Garza García,132169,131,0.991155263
20,19,020,General Bravo,5506,2,0.363240102
21,19,021,General Escobedo,481213,63,0.130919156
22,19,022,General Terán,14109,15,1.06315118
23,19,023,General Treviño,1808,0,0
24,19,024,General Zaragoza,6282,2,0.318369946
25,19,025,General Zuazua,102149,11,0.107685831
26,19,026,Guadalupe,643143,1402,2.179919551
27,19,027,Los Herreras,1959,1,0.510464523
28,19,028,Higueras,1386,0,0
29,19,029,Hualahuises,7026,4,0.569313977
30,19,030,Iturbide,3298,2,0.606428138
31,19,031,Juárez,471523,94,0.199354008
32,19,032,Lampazos de Naranjo,5351,6,1.121285741
33,19,033,Linares,84666,203,2.397656674
34,19,034,Marín,5119,1,0.195350654
35,19,035,Melchor Ocampo,1483,1,0.674308833
36,19,036,Mier y Noriega,7652,6,0.78410873
37,19,037,Mina,6048,2,0.330687831
38,19,038,Montemorelos,67428,295,4.375037077
39,19,039,Monterrey,1142994,7477,6.541591644
40,19,040,Parás,906,0,0
41,19,041,Pesquería,147624,27,0.18289709
42,19,042,Los Ramones,5389,2,0.371126369
43,19,043,Rayones,2377,0,0
44,19,044,Sabinas Hidalgo,34709,173,4.984298021
45,19,045,Salinas Victoria,86766,10,0.115252518
46,19,046,San Nicolás de los Garza,412199,1509,3.660853132
47,19,047,Hidalgo,16086,12,0.745990302
48,19,048,Santa Catarina,306622,29,0.094578993
49,19,049,Santiago,46784,46,0.983242134
50,19,050,Vallecillo,1552,0,0
51,19,051,Villaldama,3573,6,1.679261125
8888,8888,8888,No Disponible,0,521,0
9999,9999,9999,Total Nuevo León,5784742,13270,2.293965746
